title,genre,overview
Avatar,Action,A marine on alien planet fights for survival
Titanic,Romance,A love story on a sinking ship
Avengers,Action,Superheroes save the world
Inception,Sci-Fi,A thief enters dreams to steal secrets
Joker,Drama,A man becomes a criminal mastermind
Batman,Action,A hero protects Gotham city
Frozen,Animation,A princess with ice powers
Interstellar,Sci-Fi,Space travel to save humanity
Gladiator,Action,A warrior fights for revenge
The Notebook,Romance,A romantic love story
